Extension,Description,Install
Python Debugger,Python Debugger extension using debugpy.,https://ms-python.gallery.vsassets.io/_apis/public/gallery/publisher/ms-python/extension/debugpy/2024.13.2024112901/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
isort,Import organization support for Python files using isort.,https://ms-python.gallery.vsassets.io/_apis/public/gallery/publisher/ms-python/extension/isort/2023.13.13171013/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Python,"Python language support with extension access points for IntelliSense (Pylance), Debugging (Python Debugger), linting, formatting, refactoring, unit tests, and more.",https://ms-python.gallery.vsassets.io/_apis/public/gallery/publisher/ms-python/extension/python/2024.21.2024120501/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Pylance,"A performant, feature-rich language server for Python in VS Code",https://ms-python.gallery.vsassets.io/_apis/public/gallery/publisher/ms-python/extension/vscode-pylance/2024.11.102/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Jupyter,"Jupyter notebook support, interactive programming and computing that supports Intellisense, debugging and more.",https://ms-toolsai.gallery.vsassets.io/_apis/public/gallery/publisher/ms-toolsai/extension/jupyter/2024.11.2024120301/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Jupyter Keymap,Jupyter keymaps for notebooks,https://ms-toolsai.gallery.vsassets.io/_apis/public/gallery/publisher/ms-toolsai/extension/jupyter-keymap/1.1.2/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Jupyter Notebook Renderers,"Renderers for Jupyter Notebooks (with plotly, vega, gif, png, svg, jpeg and other such outputs)",https://ms-toolsai.gallery.vsassets.io/_apis/public/gallery/publisher/ms-toolsai/extension/jupyter-renderers/1.0.2024102901/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Jupyter Cell Tags,Jupyter Cell Tags support for VS Code,https://ms-toolsai.gallery.vsassets.io/_apis/public/gallery/publisher/ms-toolsai/extension/vscode-jupyter-cell-tags/0.1.9/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Jupyter Slide Show,Jupyter Slide Show support for VS Code,https://ms-toolsai.gallery.vsassets.io/_apis/public/gallery/publisher/ms-toolsai/extension/vscode-jupyter-slideshow/0.1.6/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Dev Containers,Open any folder or repository inside a Docker container and take advantage of Visual Studio Code's full feature set.,https://ms-vscode-remote.gallery.vsassets.io/_apis/public/gallery/publisher/ms-vscode-remote/extension/remote-containers/0.392.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
